Case_ID,Person_ID,Age_Group,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
CASE_IND_0001,PERSON_IND_0001,Teen (13-17),28.57495,77.127836,2026-08-31 12:44:16,Monday,Overcast,Noida Sector 18,14.75,16.05,Connaught Place Hub,21.3,Aerocity Hub
CASE_IND_0002,PERSON_IND_0002,Young Adult (18-35),28.500993,77.095261,2026-08-31 20:12:47,Monday,Rainy,Dwarka Sector 21,13.21,41.82,Cyber City Gurgaon,13.8,Cyber City Gurgaon
CASE_IND_0003,PERSON_IND_0003,Child (5-12),28.630894,77.207407,2026-08-30 08:41:44,Sunday,Overcast,Aerocity Hub,12.75,35.01,Cyber City Gurgaon,49.3,Connaught Place Hub
CASE_IND_0004,PERSON_IND_0004,Young Adult (18-35),28.610047,77.2031,2026-08-29 16:00:56,Saturday,Clear,Connaught Place Hub,6.59,4.45,Connaught Place Hub,66.0,Connaught Place Hub
CASE_IND_0005,PERSON_IND_0005,Teen (13-17),28.569816,77.070806,2026-08-29 20:23:58,Saturday,Clear,Dwarka Sector 21,4.14,44.0,Cyber City Gurgaon,61.6,Dwarka Sector 21
CASE_IND_0006,PERSON_IND_0006,Child (5-12),28.51623,77.190549,2026-08-30 10:10:34,Sunday,Rainy,Hauz Khas Village,5.03,37.98,Noida Sector 18,47.8,Hauz Khas Village
CASE_IND_0007,PERSON_IND_0007,Adult (36-60),28.498777,77.086567,2026-08-31 21:28:23,Monday,Windy,Cyber City Gurgaon,10.44,18.81,Cyber City Gurgaon,12.5,Cyber City Gurgaon
CASE_IND_0008,PERSON_IND_0008,Young Adult (18-35),28.542909,77.063118,2026-08-31 21:36:50,Monday,Rainy,Dwarka Sector 21,2.49,7.94,Connaught Place Hub,12.4,Dwarka Sector 21
CASE_IND_0009,PERSON_IND_0009,Adult (36-60),28.575053,77.303358,2026-08-29 10:40:52,Saturday,Foggy,Noida Sector 18,11.54,43.51,Aerocity Hub,71.3,Noida Sector 18
CASE_IND_0010,PERSON_IND_0010,Adult (36-60),28.538865,77.031075,2026-08-30 13:54:25,Sunday,Rainy,Noida Sector 18,4.7,42.18,Dwarka Sector 21,44.1,Dwarka Sector 21
CASE_IND_0011,PERSON_IND_0011,Young Adult (18-35),28.534778,77.046465,2026-08-29 18:34:21,Saturday,Rainy,Dwarka Sector 21,8.45,19.41,Hauz Khas Village,63.4,Dwarka Sector 21
CASE_IND_0012,PERSON_IND_0012,Teen (13-17),28.546923,77.119488,2026-08-30 02:33:37,Sunday,Overcast,Dwarka Sector 21,3.88,42.28,Aerocity Hub,55.4,Aerocity Hub
CASE_IND_0013,PERSON_IND_0013,Adult (36-60),28.560485,77.201063,2026-08-30 01:32:47,Sunday,Overcast,Cyber City Gurgaon,5.49,17.57,Hauz Khas Village,56.5,Hauz Khas Village
CASE_IND_0014,PERSON_IND_0014,Young Adult (18-35),28.574917,77.057,2026-08-30 01:14:12,Sunday,Clear,Dwarka Sector 21,17.66,41.81,Cyber City Gurgaon,56.8,Dwarka Sector 21
CASE_IND_0015,PERSON_IND_0015,Senior (60+),28.534561,77.073804,2026-08-31 16:55:02,Monday,Clear,Dwarka Sector 21,15.65,11.27,Connaught Place Hub,17.1,Dwarka Sector 21
CASE_IND_0016,PERSON_IND_0016,Young Adult (18-35),28.489224,77.094614,2026-08-29 11:16:50,Saturday,Clear,Noida Sector 18,8.26,21.05,Cyber City Gurgaon,70.7,Cyber City Gurgaon
CASE_IND_0017,PERSON_IND_0017,Adult (36-60),28.567516,77.311105,2026-08-29 12:17:24,Saturday,Rainy,Aerocity Hub,6.31,39.48,Aerocity Hub,69.7,Noida Sector 18
CASE_IND_0018,PERSON_IND_0018,Teen (13-17),28.576993,77.325381,2026-08-30 13:43:43,Sunday,Foggy,Dwarka Sector 21,16.44,39.71,Noida Sector 18,44.3,Noida Sector 18
CASE_IND_0019,PERSON_IND_0019,Adult (36-60),28.547426,77.107376,2026-09-01 02:00:11,Tuesday,Clear,Aerocity Hub,18.36,7.67,Aerocity Hub,8.0,Aerocity Hub
CASE_IND_0020,PERSON_IND_0020,Child (5-12),28.636123,77.229779,2026-08-29 17:28:15,Saturday,Rainy,Noida Sector 18,17.72,23.55,Hauz Khas Village,64.5,Connaught Place Hub
CASE_IND_0021,PERSON_IND_0021,Child (5-12),28.578933,77.317663,2026-08-29 19:24:40,Saturday,Foggy,Noida Sector 18,11.53,25.5,Hauz Khas Village,62.6,Noida Sector 18
CASE_IND_0022,PERSON_IND_0022,Teen (13-17),28.527263,77.168905,2026-09-01 04:07:41,Tuesday,Clear,Hauz Khas Village,8.67,27.68,Cyber City Gurgaon,5.9,Hauz Khas Village
CASE_IND_0023,PERSON_IND_0023,Senior (60+),28.599434,77.228816,2026-08-29 12:01:24,Saturday,Overcast,Connaught Place Hub,10.9,26.35,Connaught Place Hub,70.0,Connaught Place Hub
CASE_IND_0024,PERSON_IND_0024,Adult (36-60),28.483229,77.122526,2026-08-30 18:49:35,Sunday,Windy,Cyber City Gurgaon,9.95,11.41,Hauz Khas Village,39.2,Cyber City Gurgaon
CASE_IND_0025,PERSON_IND_0025,Child (5-12),28.564697,77.134622,2026-08-30 17:08:35,Sunday,Rainy,Dwarka Sector 21,14.59,30.14,Aerocity Hub,40.9,Aerocity Hub
CASE_IND_0026,PERSON_IND_0026,Young Adult (18-35),28.51632,77.211659,2026-08-29 10:11:52,Saturday,Overcast,Noida Sector 18,16.28,17.57,Hauz Khas Village,71.8,Hauz Khas Village
CASE_IND_0027,PERSON_IND_0027,Child (5-12),28.551138,77.123908,2026-08-31 11:15:05,Monday,Rainy,Aerocity Hub,3.67,20.3,Dwarka Sector 21,22.7,Aerocity Hub
CASE_IND_0028,PERSON_IND_0028,Adult (36-60),28.566057,77.314186,2026-08-30 02:15:47,Sunday,Windy,Noida Sector 18,11.53,21.69,Aerocity Hub,55.7,Noida Sector 18
CASE_IND_0029,PERSON_IND_0029,Senior (60+),28.56674,77.03563,2026-09-01 08:07:16,Tuesday,Foggy,Dwarka Sector 21,2.13,26.55,Aerocity Hub,1.9,Dwarka Sector 21
CASE_IND_0030,PERSON_IND_0030,Child (5-12),28.545061,77.199507,2026-08-29 16:42:11,Saturday,Foggy,Hauz Khas Village,1.24,30.46,Hauz Khas Village,65.3,Hauz Khas Village
CASE_IND_0031,PERSON_IND_0031,Adult (36-60),28.501112,77.099279,2026-08-30 03:52:36,Sunday,Overcast,Cyber City Gurgaon,5.35,8.97,Connaught Place Hub,54.1,Cyber City Gurgaon
CASE_IND_0032,PERSON_IND_0032,Young Adult (18-35),28.562469,77.10363,2026-08-31 21:19:19,Monday,Rainy,Aerocity Hub,16.66,14.89,Dwarka Sector 21,12.7,Aerocity Hub
CASE_IND_0033,PERSON_IND_0033,Young Adult (18-35),28.57228,77.19634,2026-08-30 11:05:43,Sunday,Clear,Connaught Place Hub,17.42,35.25,Noida Sector 18,46.9,Hauz Khas Village
CASE_IND_0034,PERSON_IND_0034,Teen (13-17),28.490409,77.125329,2026-08-30 10:38:45,Sunday,Windy,Hauz Khas Village,2.64,3.63,Hauz Khas Village,47.4,Cyber City Gurgaon
CASE_IND_0035,PERSON_IND_0035,Adult (36-60),28.549239,77.309226,2026-08-31 22:53:29,Monday,Rainy,Cyber City Gurgaon,8.19,36.4,Dwarka Sector 21,11.1,Noida Sector 18
CASE_IND_0036,PERSON_IND_0036,Senior (60+),28.486322,77.08588,2026-08-31 14:36:55,Monday,Clear,Cyber City Gurgaon,13.7,22.48,Cyber City Gurgaon,19.4,Cyber City Gurgaon
CASE_IND_0037,PERSON_IND_0037,Adult (36-60),28.539405,77.086569,2026-08-31 05:44:27,Monday,Overcast,Connaught Place Hub,8.57,21.3,Dwarka Sector 21,28.3,Aerocity Hub
CASE_IND_0038,PERSON_IND_0038,Senior (60+),28.558163,77.038238,2026-09-01 05:55:12,Tuesday,Clear,Aerocity Hub,4.37,13.41,Hauz Khas Village,4.1,Dwarka Sector 21
CASE_IND_0039,PERSON_IND_0039,Teen (13-17),28.567515,77.177804,2026-08-30 07:00:28,Sunday,Windy,Dwarka Sector 21,6.73,36.42,Connaught Place Hub,51.0,Hauz Khas Village
CASE_IND_0040,PERSON_IND_0040,Senior (60+),28.544827,77.126898,2026-09-01 03:57:51,Tuesday,Foggy,Aerocity Hub,3.52,24.41,Dwarka Sector 21,6.0,Aerocity Hub
CASE_IND_0041,PERSON_IND_0041,Young Adult (18-35),28.55748,77.098348,2026-08-30 08:15:34,Sunday,Foggy,Cyber City Gurgaon,11.22,14.7,Cyber City Gurgaon,49.7,Aerocity Hub
CASE_IND_0042,PERSON_IND_0042,Adult (36-60),28.560842,77.128905,2026-08-30 23:41:27,Sunday,Rainy,Aerocity Hub,11.45,28.57,Connaught Place Hub,34.3,Aerocity Hub
CASE_IND_0043,PERSON_IND_0043,Child (5-12),28.570518,77.215763,2026-08-31 13:13:31,Monday,Foggy,Connaught Place Hub,11.18,12.4,Cyber City Gurgaon,20.8,Hauz Khas Village
CASE_IND_0044,PERSON_IND_0044,Young Adult (18-35),28.658908,77.22625,2026-08-31 16:51:36,Monday,Rainy,Noida Sector 18,12.06,23.23,Dwarka Sector 21,17.1,Connaught Place Hub
CASE_IND_0045,PERSON_IND_0045,Adult (36-60),28.564608,77.068864,2026-08-31 02:56:26,Monday,Clear,Dwarka Sector 21,9.87,30.27,Connaught Place Hub,31.1,Dwarka Sector 21
CASE_IND_0046,PERSON_IND_0046,Senior (60+),28.623483,77.211761,2026-08-29 18:34:14,Saturday,Overcast,Connaught Place Hub,2.29,34.32,Connaught Place Hub,63.4,Connaught Place Hub
